Name,Filing Date,Word Length_category,c1,c2,c3,c4,ticker
"HELIOS TECHNOLOGIES, INC.",1/9/97,133,0,8.270676692,0,4.511278195,SNHY
ARAMEX INTERNATIONAL LTD,1/16/97,197,2.030456853,1.015228426,0.507614213,1.015228426,ARMXF
ECO SOIL SYSTEMS INC,1/17/97,473,1.479915433,6.131078224,0.634249471,2.114164905,ESSI
VITA FOOD PRODUCTS INC,1/17/97,348,2.586206897,2.873563218,2.298850575,3.735632184,VSF
CD WAREHOUSE INC,1/22/97,105,1.904761905,3.80952381,0,3.80952381,CDWI
EARTHLINK NETWORK INC,1/22/97,307,0.651465798,4.560260586,0.651465798,2.605863192,ELNK
"SUNCAST SOLAR ENERGY, INC",1/22/97,534,1.310861423,2.434456929,0,0.561797753,PDSE
ENERGY SEARCH INC,1/24/97,290,0.689655172,2.068965517,0.344827586,0,EGASU
RDO EQUIPMENT CO,1/24/97,278,4.676258993,2.517985612,0.35971223,1.079136691,RDO
SEEC INC,1/27/97,127,1.57480315,1.57480315,0,3.937007874,SEEC
"AMEGY BANCORPORATION, INC.",1/28/97,180,0,1.111111111,0,0,SWBT
"INSPERITY, INC.",1/29/97,248,2.419354839,3.629032258,0.806451613,2.419354839,ASF
COULTER PHARMACEUTICALS INC,1/29/97,188,1.595744681,1.063829787,1.063829787,1.595744681,CLTR
COLDWATER CREEK INC,1/29/97,105,0,4.761904762,0,0,CWTR
CAREDATA COM INC,1/29/97,491,2.647657841,5.295315682,0.203665988,0.610997963,MDMD
PHOTOELECTRON CORP,1/29/97,171,0,1.169590643,0.584795322,0.584795322,PECX
"EPIX PHARMACEUTICALS, INC.",1/30/97,187,1.069518717,2.673796791,0.534759358,2.139037433,EPIX
MEDIALINK WORLDWIDE INC,1/30/97,66,6.060606061,3.03030303,0,0,MDLK
METRO INFORMATION SERVICES INC,1/30/97,162,1.234567901,3.086419753,0,2.469135802,MISI
SCPIE HOLDINGS INC,1/30/97,50,0,0,2,0,SKP
TEMPLATE SOFTWARE INC,1/30/97,119,2.521008403,4.201680672,0.840336134,1.680672269,TMPL
CERUS CORP,1/31/97,170,1.176470588,1.764705882,0.588235294,3.529411765,CERS
MEDICAL MANAGER CORP,1/31/97,154,2.597402597,6.493506494,0,0,MMGR
NATIONAL AUTO FINANCE CO INC,1/31/97,151,0,4.635761589,0,0,NAFI
ERGOBILT INC,2/3/97,228,0.438596491,3.947368421,0,0,ERGB
HOMESIDE INTERNATIONAL INC,2/3/97,88,1.136363636,4.545454545,0,0,HSL
TRIGON HEALTHCARE INC,2/3/97,113,2.654867257,0.884955752,0.884955752,1.769911504,TGH
VERICEL CORP,2/4/97,136,0,2.941176471,0.735294118,2.205882353,ASTM
EPIQ SYSTEMS INC,2/5/97,374,0.267379679,2.139037433,0,1.336898396,EPIQ
VIEWCAST COM INC,2/5/97,485,1.649484536,2.886597938,0.412371134,1.443298969,MMAC
BRUNSWICK TECHNOLOGIES INC,2/6/97,349,2.005730659,3.151862464,0.573065903,2.29226361,BTIC
YURIE SYSTEMS INC,2/6/97,75,4,2.666666667,0,1.333333333,YURI
DIGITAL LIGHTWAVE INC,2/7/97,183,1.092896175,2.732240437,0.546448087,3.825136612,DIGL
FOUR MEDIA CO,2/7/97,305,2.62295082,2.950819672,0,1.31147541,FOUR
PREFERRED EMPLOYERS HOLDINGS INC,2/7/97,190,1.052631579,2.631578947,0,3.157894737,PEGI
GENERAL BEARING CORP,2/10/97,358,1.117318436,1.955307263,0.837988827,3.631284916,GNRL
HEALTH GRADES INC,2/10/97,247,2.834008097,7.692307692,0,4.048582996,SCNI
COAST DENTAL SERVICES INC,2/11/97,200,1.5,3.5,0,1,CDEN
CIENA CORP,2/11/97,160,1.875,2.5,0.625,3.75,CIEN
"ALERE SAN DIEGO, INC.",2/12/97,361,1.662049861,4.709141274,1.108033241,0.27700831,BSTE
GLOBAL MED TECHNOLOGIES INC,2/12/97,505,0.594059406,2.772277228,0.594059406,2.97029703,GLOBU
QUALIX GROUP INC,2/12/97,115,0.869565217,3.47826087,0.869565217,0.869565217,QLIX
BIRMAN MANAGED CARE INC,2/13/97,247,0.809716599,2.429149798,0,0.809716599,BMAN
DAOU SYSTEMS INC,2/13/97,78,1.282051282,3.846153846,0,0,DAOU
GENTLE DENTAL SERVICE CORP,2/13/97,201,3.482587065,4.975124378,0,0.497512438,GNTL
INDEPENDENCE BREWING CO,2/13/97,362,0.276243094,4.419889503,0,1.657458564,IBCO
RADIANT SYSTEMS INC,2/13/97,361,1.662049861,4.709141274,1.108033241,0.27700831,RADS
WESLEY JESSEN VISIONCARE INC,2/13/97,133,0,5.263157895,0,0,WJCO
"AMEDIA NETWORKS, INC.",2/14/97,660,1.363636364,3.333333333,0.303030303,1.96969697,TTRF
AESP INC,2/18/97,412,0.485436893,4.126213592,0,1.941747573,AESP
JUDGE GROUP INC,2/18/97,179,2.234636872,4.469273743,0,0.558659218,JUDG
MICRO THERAPEUTICS INC,2/19/97,120,0,1.666666667,0.833333333,4.166666667,MTIX
OLD POINT.360,2/19/97,194,3.092783505,3.608247423,0,1.030927835,VDIM
COMPLETE WELLNESS CENTERS INC,2/20/97,357,0,3.921568627,0,0.280112045,CMWL
"REDCATS USA, INC.",2/21/97,97,0,6.18556701,0,1.030927835,BYL
CUMBERLAND MOUNTAIN BANCSHARES INC,2/21/97,364,0.549450549,4.945054945,0,0.824175824,CMBN
ILEX ONCOLOGY INC,2/21/97,323,1.547987616,1.857585139,2.476780186,2.167182663,ILXO
MARKET FINANCIAL CORP,2/21/97,269,0.371747212,1.858736059,0,0,MRKF
OVERLAND STORAGE INC,2/21/97,117,2.564102564,3.418803419,0,0.854700855,OVRL
U S RENTALS INC,2/21/97,84,1.19047619,10.71428571,0,1.19047619,USR
"DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS, INC.",2/25/97,295,1.694915254,2.033898305,0.338983051,1.016949153,DTPI
HEMLOCK FEDERAL FINANCIAL CORP,2/25/97,559,0.357781753,4.114490161,0,0.53667263,HMLK
MICHIGAN HERITAGE BANCORP INC,2/25/97,200,0.5,6.5,0,1,MHBC
NACT TELECOMMUNICATIONS INC,2/26/97,138,1.449275362,4.347826087,0.724637681,2.898550725,NACT
SPECIAL METALS CORP,2/26/97,175,0,6.285714286,0,4.571428571,SMCX
"DELTEK, INC",2/26/97,99,1.01010101,3.03030303,0,2.02020202,DLTK
EDGE PETROLEUM CORP,2/27/97,120,1.666666667,8.333333333,1.666666667,2.5,EPEX
FIRST AVIATION SERVICES INC,2/28/97,215,3.255813953,4.186046512,0,2.325581395,FAVS
GENERAL CIGAR HOLDINGS INC,2/28/97,111,1.801801802,3.603603604,0,1.801801802,MPP
SUPERIOR SUPPLEMENTS INC,2/28/97,328,0.609756098,1.829268293,0,1.524390244,SPSUU
VISTANA INC,2/28/97,167,0.598802395,6.586826347,0,0.598802395,VSTN
AVIATION DISTRIBUTORS INC,3/4/97,147,0,4.081632653,0,4.081632653,ADIN
AMERITRADE ONLINE HOLDINGS CORP,3/4/97,119,3.361344538,3.361344538,0,1.680672269,AMTD
CORGI INTERNATIONAL LTD,3/4/97,108,0,1.851851852,0,3.703703704,ZNDTY
RIVIERA TOOL CO,3/5/97,196,2.551020408,4.591836735,1.020408163,0.510204082,RTC
COVANSYS CORP,3/6/97,159,1.886792453,3.773584906,1.257861635,0.628930818,CBSL
ATL PRODUCTS INC,3/7/97,215,0,2.790697674,0.930232558,2.325581395,ATLPA
EMCORE CORP,3/7/97,202,0.99009901,4.455445545,0,5.445544554,EMKR
OPKO HEALTH INC.,3/7/97,184,1.086956522,3.260869565,0.543478261,0.543478261,KOSP
NATIONWIDE FINANCIAL SERVICES INC/,3/7/97,95,0,2.105263158,0,0,NFS
TOTAL CONTROL PRODUCTS INC,3/11/97,249,1.204819277,4.819277108,0,1.606425703,TCPS
PLUMA INC,3/12/97,83,0,4.819277108,0,6.024096386,PLU
PROMEDCO MANAGEMENT CO,3/12/97,100,0,3,1,1,PMCO
ARTECON INC /DE/,3/12/97,133,0.751879699,3.007518797,0,2.255639098,STDM
MACROVISION CORP,3/13/97,103,1.941747573,1.941747573,0,0.970873786,MVSN
"GUITAR CENTER, INC.",3/14/97,178,3.93258427,2.808988764,0,0.561797753,GTRC
NEOMAGIC CORP,3/14/97,158,0.632911392,1.265822785,0.632911392,1.898734177,NMGC
NEWSTATE HOLDINGS INC,3/14/97,226,0,4.424778761,0.884955752,0.442477876,RCOM
"ABSOLUTE POTENTIAL, INC.",3/17/97,504,2.380952381,2.182539683,0,2.579365079,VCLLU
COLONIAL HOLDINGS INC,3/20/97,332,0.602409639,2.409638554,0,3.012048193,CDWN
ENDOCARDIAL SOLUTIONS INC,3/20/97,130,0,2.307692308,0,1.538461538,ECSI
KONTRON MOBILE COMPUTING INC,3/20/97,404,0.495049505,4.95049505,0,1.98019802,FWRX
PHYSICIANS SPECIALTY CORP,3/21/97,384,1.822916667,5.208333333,0,1.302083333,ENTS
PALEX INC,3/21/97,293,0.341296928,5.119453925,0,1.023890785,PALX
OMNIQUIP INTERNATIONAL INC,3/24/97,174,0.574712644,5.172413793,0,0,OMQP
HAMILTON BANCORP INC,3/26/97,43,0,0,2.325581395,0,HABK
AHL SERVICES INC,3/27/97,229,2.183406114,3.056768559,0.436681223,0,AHLS
SPIGADORO INC,3/27/97,355,0.563380282,3.943661972,0.281690141,1.690140845,IATA
PEOPLES SIDNEY FINANCIAL CORP,3/27/97,530,0.566037736,5.094339623,0.188679245,0.566037736,PSFC
CHICAGO BRIDGE & IRON CO N V,3/28/97,34,0,0,0,0,CBI
HCB BANCSHARES INC,3/28/97,412,0.242718447,2.912621359,0,0,HCBB
COMMODORE SEPARATION TECHNOLOGIES INC,4/4/97,617,0.648298217,3.079416532,0.162074554,2.431118314,CXOT
GULF ISLAND FABRICATION INC,4/4/97,190,1.052631579,2.631578947,0,4.736842105,GIFI
ROCKY FORD FINANCIAL INC,4/4/97,498,0.401606426,2.409638554,0,0,RFFC
MEADE INSTRUMENTS CORP,4/9/97,264,0,5.681818182,0,0.378787879,MEAD
NEXAR TECHNOLOGIES INC,4/9/97,212,1.41509434,2.830188679,0.471698113,3.301886792,NEXR
PEREGRINE SYSTEMS INC,4/9/97,131,0.763358779,4.580152672,0.763358779,0.763358779,PRGN
BIO KEY INTERNATIONAL INC,4/9/97,516,0,2.325581395,0.19379845,3.682170543,SACM
VALLEY NATIONAL GASES INC,4/10/97,165,2.424242424,5.454545455,0.606060606,3.03030303,VNGI
ACCELGRAPHICS INC,4/11/97,157,2.547770701,2.547770701,1.910828025,3.184713376,ACCL
BEA SYSTEMS INC,4/14/97,218,2.293577982,4.128440367,0,0.458715596,BEAS
ASI SOLUTIONS INC,4/16/97,200,1,2.5,0,3.5,ASIS
DECRANE AIRCRAFT HOLDINGS INC,4/17/97,411,0,4.379562044,0,0.729927007,DAHX
EGGHEAD COM INC/DE,4/18/97,124,2.419354839,1.612903226,0.806451613,4.032258065,ONSL
ESSEX INTERNATIONAL INC /,4/18/97,107,0.934579439,8.411214953,0,0,SXC
GO2NET INC,4/23/97,283,1.766784452,1.766784452,0.35335689,3.533568905,GNET
BIONX IMPLANTS INC,4/25/97,244,0.409836066,3.68852459,0,3.278688525,BINX
UNIVEC INC,4/25/97,370,0.27027027,4.324324324,0.27027027,2.972972973,UNVC
HERTZ CORP,4/28/97,48,0,6.25,0,0,HRZ
LONG BEACH FINANCIAL CORP,4/29/97,8,0,0,0,0,LBFC
GENERAL CREDIT CORP,4/29/97,361,0,8.310249307,0,0.27700831,LOANU
INTERNATIONAL COMPUTEX INC,5/1/97,337,0.890207715,2.37388724,0.296735905,2.077151335,ICIQ
"SCHIFF NUTRITION INTERNATIONAL, INC.",5/1/97,163,0.613496933,4.90797546,0,0,WNI
BROOKDALE LIVING COMMUNITIES INC,5/5/97,273,1.465201465,3.296703297,0.366300366,2.564102564,BLCI
DTM CORP /TX/,5/5/97,115,0,8.695652174,0,0,DTMC
FTM MEDIA INC,5/7/97,210,1.428571429,2.857142857,0.476190476,0,RWBD
"GLOBAL MATRECHS, INC.",5/8/97,263,1.901140684,3.422053232,0.380228137,4.182509506,HCOM
JOURNAL REGISTER CO,5/8/97,198,0,2.525252525,0,0,JRC
BRIGHAM EXPLORATION CO,5/9/97,163,1.226993865,1.840490798,0.613496933,3.680981595,BEXP
BOBBY ALLISON WIRELESS CORP,5/9/97,285,0,1.052631579,0,3.50877193,CNTCU
RAMBUS INC,5/14/97,131,1.526717557,1.526717557,0.763358779,4.580152672,RMBS
AMAZON COM INC,5/15/97,147,2.040816327,2.040816327,0.680272109,2.040816327,AMZN
HAWAIIAN NATURAL WATER CO INC,5/15/97,527,0.759013283,5.5028463,0.189753321,2.087286528,HNWC
SIERRACITIES COM INC,5/16/97,122,2.459016393,3.278688525,0,2.459016393,FSFH
GENERAL CABLE CORP /DE/,5/16/97,14,0,0,0,0,GCN
"SG BLOCKS, INC.",5/16/97,386,0.518134715,3.886010363,0.259067358,1.554404145,PCFRU
SUPER NOVA RESOURCES INC.,5/19/97,262,0,3.816793893,0,2.290076336,ASDG
BLUEFLY INC,5/20/97,37,0,8.108108108,0,2.702702703,PVTRU
COMMUNITY FIRST BANKING CO,5/22/97,653,0.45941807,3.675344564,0.306278714,0.612557427,CFBC
HARTFORD LIFE INC,5/22/97,137,0,6.569343066,0,0,HLI
NEI WEBWORLD INC,5/22/97,281,0.711743772,4.270462633,0,2.135231317,NEIP
SUMMIT HOLDING SOUTHEAST INC,5/22/97,80,0,1.25,0,0,SHSE
APPLE ORTHODONTIX INC,5/23/97,225,2.222222222,3.555555556,0,0.888888889,AOI
TROVER SOLUTIONS INC,5/23/97,117,2.564102564,3.418803419,0,2.564102564,HCRI
NATIONWIDE DELIVERY INC.,5/27/97,544,0.367647059,5.514705882,0,0.367647059,GOSB
CAREY INTERNATIONAL INC,5/28/97,276,2.536231884,6.884057971,0,0,CARY
FIRSTBANK NW CORP,5/28/97,254,0.393700787,3.937007874,0,1.181102362,FBNW
PEOPLES COMMUNITY CAPITAL CORP,5/28/97,536,0.186567164,5.410447761,0,2.052238806,PPLM
SECURITY BANCORP INC /TN,5/28/97,334,0.299401198,3.892215569,0,0.299401198,SCYT
NETSPEAK CORP,5/29/97,145,2.068965517,3.448275862,0.689655172,1.379310345,NSPK
ASCENT PEDIATRICS INC,5/30/97,278,2.158273381,0.71942446,0,3.597122302,ASCT
DSI TOYS INC,5/30/97,444,0.45045045,9.459459459,0,0,DSIT
AMERICAN RETIREMENT CORP,6/2/97,187,1.604278075,2.673796791,0,3.20855615,ACR
FIRSTSPARTAN FINANCIAL CORP,6/4/97,441,0.453514739,3.401360544,0,1.360544218,FSPT
PAMECO CORP,6/4/97,187,0,6.951871658,0,1.069518717,PCN
RF MICRO DEVICES INC,6/4/97,207,0,4.830917874,0,4.347826087,RFMD
"SAREPTA THERAPEUTICS, INC.",6/5/97,232,0.862068966,1.724137931,1.293103448,0.431034483,AVII
ESHARE COMMUNICATIONS INC,6/5/97,268,0.746268657,2.23880597,0,0,MELI
CONCERO INC,6/5/97,217,0.460829493,3.686635945,0,2.304147465,PSWT
CARDIMA INC,6/6/97,185,1.621621622,3.243243243,0,3.243243243,CRDM
LOTTERY & WAGERING SOLUTIONS INC,6/6/97,421,0,3.800475059,0.475059382,2.375296912,RIPE
SILVERLEAF RESORTS INC,6/6/97,159,0,5.660377358,0,0.628930818,SVR
IRIDIUM WORLD COMMUNICATIONS LTD,6/10/97,110,0,1.818181818,0,0.909090909,IRIDF
EFAX COM INC,6/11/97,159,0,3.144654088,0,1.886792453,JTFX
PEAPOD INC,6/11/97,77,0,3.896103896,0,2.597402597,PPOD
HTE INC,6/12/97,159,1.257861635,5.031446541,0.628930818,3.144654088,HTEI
RALPH LAUREN CORP,6/12/97,271,0.36900369,5.166051661,0,2.95202952,RL
STAR TELECOMMUNICATIONS INC,6/12/97,211,1.421800948,3.317535545,0,1.895734597,STRX
IWL COMMUNICATIONS INC,6/13/97,263,0.380228137,1.901140684,0.380228137,1.901140684,IWLC
RC2 CORP,6/13/97,157,0,6.369426752,0,0,RACN
WASTE INDUSTRIES INC,6/13/97,167,3.592814371,4.790419162,0,5.389221557,WWIN
GENESYS TELECOMMUNICATIONS LABORATORIES INC,6/17/97,102,0.980392157,2.941176471,0.980392157,0.980392157,GCTI
INTEST CORP,6/17/97,223,3.587443946,3.139013453,0.448430493,1.793721973,INTT
"MAXIMUS, INC.",6/17/97,159,0.628930818,2.51572327,1.257861635,0.628930818,MMS
ORBIT FR INC,6/17/97,95,4.210526316,8.421052632,0,2.105263158,ORFR
ARIS CORP/,6/18/97,150,2,4,0,0.666666667,ARSC
NEW ERA OF NETWORKS INC,6/18/97,210,1.428571429,3.333333333,0,5.714285714,NEON
STEEL VAULT CORP,6/18/97,218,2.293577982,1.834862385,0,1.834862385,SYCM
AURORA BIOSCIENCES CORP,6/19/97,115,2.608695652,2.608695652,1.739130435,2.608695652,ABSC
LASER POWER CORP/FA,6/19/97,197,0.507614213,4.060913706,0,3.553299492,LPWR
RWD TECHNOLOGIES INC,6/19/97,95,3.157894737,2.105263158,1.052631579,0,RWDT
SIMULATIONS PLUS INC,6/19/97,364,0.549450549,5.21978022,1.098901099,3.296703297,SIMU
"STARTEK, INC.",6/19/97,156,1.282051282,5.769230769,0,2.564102564,SRT
ARM FINANCIAL GROUP INC,6/20/97,61,1.639344262,1.639344262,0,0,ARM
METRIKA SYSTEMS CORP,6/20/97,114,1.754385965,1.754385965,1.754385965,0.877192982,MKA
PROFESSIONAL TRANSPORTATION GROUP LTD INC,6/20/97,324,1.234567901,4.012345679,0.308641975,1.851851852,TRUC
ACORN PRODUCTS INC,6/24/97,197,3.553299492,6.598984772,1.015228426,4.568527919,ACRN
GREAT PLAINS SOFTWARE INC,6/24/97,117,4.273504274,1.709401709,1.709401709,0.854700855,GPSI
QWEST COMMUNICATIONS INTERNATIONAL INC,6/24/97,77,0,5.194805195,0,2.597402597,QWST
RANGE ENERGY CORP,6/25/97,358,0.558659218,3.351955307,0,5.586592179,DXD
3DFX INTERACTIVE INC,6/25/97,148,2.027027027,2.702702703,0,6.081081081,TDFX
WATERLINK INC,6/25/97,81,2.469135802,9.87654321,0,0,WLK
PACIFIC PREMIER BANCORP INC,6/26/97,172,2.906976744,2.325581395,0,0.581395349,LFCO
NEW CENTURY TRS HOLDINGS INC,6/26/97,71,0,5.633802817,0,1.408450704,NCEN
NXCHAIN INC.,6/26/97,318,0.628930818,1.886792453,0,2.830188679,RIMS
GEVITY HR INC,6/26/97,216,1.851851852,4.62962963,0.462962963,0.462962963,STFF
SAXTON INC,6/26/97,300,1.666666667,7.333333333,0,0,SXTN
ADVANCED COMMUNICATION SYSTEMS INC,6/27/97,142,2.112676056,4.225352113,0,0,ACSC
COMFORT SYSTEMS USA INC,6/27/97,97,3.092783505,7.216494845,0,0,FIX
JLK DIRECT DISTRIBUTION INC,6/27/97,135,2.222222222,7.407407407,0,0,JLK
800 JR CIGAR INC,6/27/97,283,0,3.533568905,0,2.826855124,JRJR
KIDS STUFF INC,6/27/97,580,1.034482759,4.482758621,0,0.344827586,KDST
EXTERRAN ENERGY CORP.,7/1/97,92,0,5.434782609,0,1.086956522,HC
HESKA CORP,7/1/97,168,1.19047619,0.595238095,1.19047619,3.571428571,HSKA
"SIRONA DENTAL SYSTEMS, INC.",7/1/97,208,2.403846154,5.769230769,0.480769231,1.442307692,SCHK
DBM GLOBAL INC,7/1/97,109,1.834862385,4.587155963,0.917431193,0,SHUF
HELIX ENERGY SOLUTIONS GROUP INC,7/2/97,159,0,5.660377358,0,0,CDIS
8X8 INC /DE/,7/2/97,83,1.204819277,4.819277108,0,3.614457831,EGHT
LAI WORLDWIDE INC,7/2/97,166,1.204819277,6.626506024,0,0.602409639,LAIX
IRON MOUNTAIN INC,7/2/97,171,2.923976608,1.754385965,0.584795322,2.339181287,PLH
PERITUS SOFTWARE SERVICES INC,7/2/97,140,1.428571429,4.285714286,0.714285714,0.714285714,PTUS
GUIDED THERAPEUTICS INC,7/2/97,161,0,1.242236025,0,3.105590062,SPRX
MERCATOR SOFTWARE INC,7/2/97,130,2.307692308,4.615384615,0,0.769230769,TSFW
CENTENNIAL HEALTHCARE CORP,7/3/97,401,0.249376559,3.241895262,0.498753117,2.244389027,CTEN
HAGLER BAILLY INC,7/3/97,299,1.003344482,3.678929766,1.337792642,0,HBIX
"IVOW, INC.",7/3/97,156,1.923076923,1.923076923,0.641025641,5.128205128,VMTI
OUTERWALL INC,7/7/97,191,1.047120419,4.188481675,1.047120419,3.664921466,CSTR
TRANSCEND THERAPEUTICS INC,7/7/97,240,0.833333333,1.25,0.416666667,2.916666667,TSND
INX INC,7/8/97,227,0.881057269,3.524229075,0,3.964757709,ALLS
TELESCIENCES INC /DE/,7/8/97,176,2.840909091,3.409090909,0,1.704545455,AXIM
HORIZON PHARMACIES INC,7/9/97,244,2.459016393,6.147540984,0,0.819672131,HZP
TELEGROUP INC,7/9/97,109,0,3.669724771,0,1.834862385,TGRP
"AMICAS, INC.",7/10/97,346,2.89017341,3.179190751,0,0.867052023,INC
24HOLDINGS INC,7/10/97,241,2.489626556,3.319502075,0,1.659751037,SCPI
METALS USA INC,7/11/97,187,1.069518717,5.347593583,0,3.20855615,MUI
APOLLO INTERNATIONAL OF DELAWARE INC,7/15/97,292,0,1.369863014,0,2.397260274,AIOD
HOME SECURITY INTERNATIONAL INC,7/16/97,132,0,3.03030303,0,0,HSI
