Name,Filing Date,Word Length,c1,c2,c3,c4
DSI TOYS INC,5/30/97,444,0.45045045,9.459459459,0,0
AMERICAN RETIREMENT CORP,6/2/97,187,1.604278075,2.673796791,0,3.20855615
ASCENT PEDIATRICS INC,5/30/97,278,2.158273381,0.71942446,0,3.597122302
CUMBERLAND MOUNTAIN BANCSHARES INC,2/21/97,364,0.549450549,4.945054945,0,0.824175824
HEMLOCK FEDERAL FINANCIAL CORP,2/25/97,559,0.357781753,4.114490161,0,0.53667263
COMMODORE SEPARATION TECHNOLOGIES INC,4/4/97,617,0.648298217,3.079416532,0.162074554,2.431118314
GULF ISLAND FABRICATION INC,4/4/97,190,1.052631579,2.631578947,0,4.736842105
NEXAR TECHNOLOGIES INC,4/9/97,212,1.41509434,2.830188679,0.471698113,3.301886792
MEADE INSTRUMENTS CORP,4/9/97,264,0,5.681818182,0,0.378787879
24HOLDINGS INC,7/10/97,241,2.489626556,3.319502075,0,1.659751037
PEREGRINE SYSTEMS INC,4/9/97,131,0.763358779,4.580152672,0.763358779,0.763358779
VALLEY NATIONAL GASES INC,4/10/97,165,2.424242424,5.454545455,0.606060606,3.03030303
ACCELGRAPHICS INC,4/11/97,157,2.547770701,2.547770701,1.910828025,3.184713376
BEA SYSTEMS INC,4/14/97,218,2.293577982,4.128440367,0,0.458715596
ASI SOLUTIONS INC,4/16/97,200,1,2.5,0,3.5
DECRANE AIRCRAFT HOLDINGS INC,4/17/97,411,0,4.379562044,0,0.729927007
EGGHEAD COM INC/DE,4/18/97,124,2.419354839,1.612903226,0.806451613,4.032258065
ESSEX INTERNATIONAL INC /,4/18/97,107,0.934579439,8.411214953,0,0
GO2NET INC,4/23/97,283,1.766784452,1.766784452,0.35335689,3.533568905
UNIVEC INC,4/25/97,370,0.27027027,4.324324324,0.27027027,2.972972973
BIONX IMPLANTS INC,4/25/97,244,0.409836066,3.68852459,0,3.278688525
HERTZ CORP,4/28/97,48,0,6.25,0,0
PEOPLES SIDNEY FINANCIAL CORP,3/27/97,530,0.566037736,5.094339623,0.188679245,0.566037736
GENERAL CREDIT CORP,4/29/97,361,0,8.310249307,0,0.27700831
LONG BEACH FINANCIAL CORP,4/29/97,8,0,0,0,0
INTERNATIONAL COMPUTEX INC,5/1/97,337,0.890207715,2.37388724,0.296735905,2.077151335
RIVIERA TOOL CO,3/5/97,196,2.551020408,4.591836735,1.020408163,0.510204082
CORGI INTERNATIONAL LTD,3/4/97,108,0,1.851851852,0,3.703703704
AMERITRADE ONLINE HOLDINGS CORP,3/4/97,119,3.361344538,3.361344538,0,1.680672269
AVIATION DISTRIBUTORS INC,3/4/97,147,0,4.081632653,0,4.081632653
COVANSYS CORP,3/6/97,159,1.886792453,3.773584906,1.257861635,0.628930818
NATIONWIDE FINANCIAL SERVICES INC/,3/7/97,95,0,2.105263158,0,0
EMCORE CORP,3/7/97,202,0.99009901,4.455445545,0,5.445544554
ATL PRODUCTS INC,3/7/97,215,0,2.790697674,0.930232558,2.325581395
OPKO HEALTH INC.,3/7/97,184,1.086956522,3.260869565,0.543478261,0.543478261
PLUMA INC,3/12/97,83,0,4.819277108,0,6.024096386
TOTAL CONTROL PRODUCTS INC,3/11/97,249,1.204819277,4.819277108,0,1.606425703
ARTECON INC /DE/,3/12/97,133,0.751879699,3.007518797,0,2.255639098
PROMEDCO MANAGEMENT CO,3/12/97,100,0,3,1,1
MACROVISION CORP,3/13/97,103,1.941747573,1.941747573,0,0.970873786
NEWSTATE HOLDINGS INC,3/14/97,226,0,4.424778761,0.884955752,0.442477876
NEOMAGIC CORP,3/14/97,158,0.632911392,1.265822785,0.632911392,1.898734177
"ABSOLUTE POTENTIAL, INC.",3/17/97,504,2.380952381,2.182539683,0,2.579365079
"GUITAR CENTER, INC.",3/14/97,178,3.93258427,2.808988764,0,0.561797753
COLONIAL HOLDINGS INC,3/20/97,332,0.602409639,2.409638554,0,3.012048193
ENDOCARDIAL SOLUTIONS INC,3/20/97,130,0,2.307692308,0,1.538461538
PALEX INC,3/21/97,293,0.341296928,5.119453925,0,1.023890785
KONTRON MOBILE COMPUTING INC,3/20/97,404,0.495049505,4.95049505,0,1.98019802
PHYSICIANS SPECIALTY CORP,3/21/97,384,1.822916667,5.208333333,0,1.302083333
OMNIQUIP INTERNATIONAL INC,3/24/97,174,0.574712644,5.172413793,0,0
SPIGADORO INC,3/27/97,355,0.563380282,3.943661972,0.281690141,1.690140845
HAMILTON BANCORP INC,3/26/97,43,0,0,2.325581395,0
MARKET FINANCIAL CORP,2/21/97,269,0.371747212,1.858736059,0,0
CHICAGO BRIDGE & IRON CO N V,3/28/97,34,0,0,0,0
AHL SERVICES INC,3/27/97,229,2.183406114,3.056768559,0.436681223,0
EPIQ SYSTEMS INC,2/5/97,374,0.267379679,2.139037433,0,1.336898396
VERICEL CORP,2/4/97,136,0,2.941176471,0.735294118,2.205882353
VIEWCAST COM INC,2/5/97,485,1.649484536,2.886597938,0.412371134,1.443298969
YURIE SYSTEMS INC,2/6/97,75,4,2.666666667,0,1.333333333
BRUNSWICK TECHNOLOGIES INC,2/6/97,349,2.005730659,3.151862464,0.573065903,2.29226361
DIGITAL LIGHTWAVE INC,2/7/97,183,1.092896175,2.732240437,0.546448087,3.825136612
PREFERRED EMPLOYERS HOLDINGS INC,2/7/97,190,1.052631579,2.631578947,0,3.157894737
HEALTH GRADES INC,2/10/97,247,2.834008097,7.692307692,0,4.048582996
CIENA CORP,2/11/97,160,1.875,2.5,0.625,3.75
FOUR MEDIA CO,2/7/97,305,2.62295082,2.950819672,0,1.31147541
GENERAL BEARING CORP,2/10/97,358,1.117318436,1.955307263,0.837988827,3.631284916
INDEPENDENCE BREWING CO,2/13/97,362,0.276243094,4.419889503,0,1.657458564
"BPZ RESOURCES, INC.",5/15/03,305,0.655737705,4.590163934,0.655737705,1.967213115
COAST DENTAL SERVICES INC,2/11/97,200,1.5,3.5,0,1
QUALIX GROUP INC,2/12/97,115,0.869565217,3.47826087,0.869565217,0.869565217
GLOBAL MED TECHNOLOGIES INC,2/12/97,505,0.594059406,2.772277228,0.594059406,2.97029703
"ALERE SAN DIEGO, INC.",2/12/97,361,1.662049861,4.709141274,1.108033241,0.27700831
BIRMAN MANAGED CARE INC,2/13/97,247,0.809716599,2.429149798,0,0.809716599
DAOU SYSTEMS INC,2/13/97,78,1.282051282,3.846153846,0,0
AESP INC,2/18/97,412,0.485436893,4.126213592,0,1.941747573
GENTLE DENTAL SERVICE CORP,2/13/97,201,3.482587065,4.975124378,0,0.497512438
WESLEY JESSEN VISIONCARE INC,2/13/97,133,0,5.263157895,0,0
RADIANT SYSTEMS INC,2/13/97,361,1.662049861,4.709141274,1.108033241,0.27700831
"AMEDIA NETWORKS, INC.",2/14/97,660,1.363636364,3.333333333,0.303030303,1.96969697
JUDGE GROUP INC,2/18/97,179,2.234636872,4.469273743,0,0.558659218
MICRO THERAPEUTICS INC,2/19/97,120,0,1.666666667,0.833333333,4.166666667
COMPLETE WELLNESS CENTERS INC,2/20/97,357,0,3.921568627,0,0.280112045
OLD POINT.360,2/19/97,194,3.092783505,3.608247423,0,1.030927835
BIO KEY INTERNATIONAL INC,4/9/97,516,0,2.325581395,0.19379845,3.682170543
U S RENTALS INC,2/21/97,84,1.19047619,10.71428571,0,1.19047619
"REDCATS USA, INC.",2/21/97,97,0,6.18556701,0,1.030927835
OVERLAND STORAGE INC,2/21/97,117,2.564102564,3.418803419,0,0.854700855
ILEX ONCOLOGY INC,2/21/97,323,1.547987616,1.857585139,2.476780186,2.167182663
MICHIGAN HERITAGE BANCORP INC,2/25/97,200,0.5,6.5,0,1
"DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS, INC.",2/25/97,295,1.694915254,2.033898305,0.338983051,1.016949153
EDGE PETROLEUM CORP,2/27/97,120,1.666666667,8.333333333,1.666666667,2.5
"DELTEK, INC",2/26/97,99,1.01010101,3.03030303,0,2.02020202
NACT TELECOMMUNICATIONS INC,2/26/97,138,1.449275362,4.347826087,0.724637681,2.898550725
SPECIAL METALS CORP,2/26/97,175,0,6.285714286,0,4.571428571
SUPERIOR SUPPLEMENTS INC,2/28/97,328,0.609756098,1.829268293,0,1.524390244
VISTANA INC,2/28/97,167,0.598802395,6.586826347,0,0.598802395
GENERAL CIGAR HOLDINGS INC,2/28/97,111,1.801801802,3.603603604,0,1.801801802
FIRST AVIATION SERVICES INC,2/28/97,215,3.255813953,4.186046512,0,2.325581395
"HELIOS TECHNOLOGIES, INC.",1/9/97,133,0,8.270676692,0,4.511278195
ARAMEX INTERNATIONAL LTD,1/16/97,197,2.030456853,1.015228426,0.507614213,1.015228426
VITA FOOD PRODUCTS INC,1/17/97,348,2.586206897,2.873563218,2.298850575,3.735632184
ECO SOIL SYSTEMS INC,1/17/97,473,1.479915433,6.131078224,0.634249471,2.114164905
"WI-TRON, INC.",1/20/00,410,0,5.12195122,0.243902439,3.170731707
CD WAREHOUSE INC,1/22/97,105,1.904761905,3.80952381,0,3.80952381
EARTHLINK NETWORK INC,1/22/97,307,0.651465798,4.560260586,0.651465798,2.605863192
SEEC INC,1/27/97,127,1.57480315,1.57480315,0,3.937007874
"SUNCAST SOLAR ENERGY, INC",1/22/97,534,1.310861423,2.434456929,0,0.561797753
RDO EQUIPMENT CO,1/24/97,278,4.676258993,2.517985612,0.35971223,1.079136691
ENERGY SEARCH INC,1/24/97,290,0.689655172,2.068965517,0.344827586,0
COULTER PHARMACEUTICALS INC,1/29/97,188,1.595744681,1.063829787,1.063829787,1.595744681
"AMEGY BANCORPORATION, INC.",1/28/97,180,0,1.111111111,0,0
TEMPLATE SOFTWARE INC,1/30/97,119,2.521008403,4.201680672,0.840336134,1.680672269
PHOTOELECTRON CORP,1/29/97,171,0,1.169590643,0.584795322,0.584795322
"INSPERITY, INC.",1/29/97,248,2.419354839,3.629032258,0.806451613,2.419354839
COLDWATER CREEK INC,1/29/97,105,0,4.761904762,0,0
METRO INFORMATION SERVICES INC,1/30/97,162,1.234567901,3.086419753,0,2.469135802
CAREDATA COM INC,1/29/97,491,2.647657841,5.295315682,0.203665988,0.610997963
MEDIALINK WORLDWIDE INC,1/30/97,66,6.060606061,3.03030303,0,0
HOMESIDE INTERNATIONAL INC,2/3/97,88,1.136363636,4.545454545,0,0
"EPIX PHARMACEUTICALS, INC.",1/30/97,187,1.069518717,2.673796791,0.534759358,2.139037433
SCPIE HOLDINGS INC,1/30/97,50,0,0,2,0
NATIONAL AUTO FINANCE CO INC,1/31/97,151,0,4.635761589,0,0
MEDICAL MANAGER CORP,1/31/97,154,2.597402597,6.493506494,0,0
TRIGON HEALTHCARE INC,2/3/97,113,2.654867257,0.884955752,0.884955752,1.769911504
ERGOBILT INC,2/3/97,228,0.438596491,3.947368421,0,0
CERUS CORP,1/31/97,170,1.176470588,1.764705882,0.588235294,3.529411765
EQUALITY BANCORP INC,10/31/97,153,0,0.653594771,0,0
U S VISION INC,12/3/97,337,1.18694362,6.528189911,0.296735905,0.59347181
MPW INDUSTRIAL SERVICES GROUP INC,12/2/97,216,0,3.240740741,0,1.388888889
PEOPLES COMMUNITY CAPITAL CORP,5/28/97,536,0.186567164,5.410447761,0,2.052238806
"WOW HOLDINGS, INC.",12/4/97,420,0.238095238,4.047619048,0.714285714,4.761904762
IMAGEMAX INC,12/4/97,238,2.521008403,5.462184874,0,1.260504202
MIDWAY AIRLINES CORP,12/5/97,140,1.428571429,2.142857143,0,1.428571429
OMNI ENERGY SERVICES CORP,12/5/97,613,0.652528548,7.830342577,0,1.305057096
USWEB CORP,12/10/97,201,4.975124378,0.497512438,0.995024876,0.497512438
WMF GROUP LTD,11/5/97,13,0,7.692307692,0,0
BROUGHTON FOODS CO,12/10/97,93,3.225806452,5.376344086,0,2.150537634
THERMO VISION CORP,12/10/97,111,1.801801802,0.900900901,1.801801802,0.900900901
"FOOTBALL EQUITIES, INC",12/11/97,207,2.415458937,3.8647343,0,0
POWER INTEGRATIONS INC,12/12/97,101,0.99009901,4.95049505,0.99009901,2.97029703
SPECTRA  PHYSICS INC,12/12/97,100,1,3,1,2
FOCAL INC,12/12/97,157,0.636942675,1.910828025,0.636942675,7.006369427
FLEXIINTERNATIONAL SOFTWARE INC/CT,12/12/97,165,3.636363636,1.818181818,0.606060606,0.606060606
FEDERAL TRUST CORP,10/17/97,232,0,0.431034483,0.431034483,0
ESG RE LTD,12/16/97,54,0,0,0,0
CONNING INC.,12/16/97,122,3.278688525,3.278688525,1.639344262,0
GABRIEL TECHNOLOGIES CORP,12/16/97,398,0.251256281,2.763819095,1.256281407,2.261306533
"OFFICIAL PAYMENTS HOLDINGS, INC.",12/17/97,180,3.333333333,2.777777778,0.555555556,3.333333333
"REMY INTERNATIONAL, INC.",12/17/97,263,1.140684411,7.984790875,0,0.380228137
DOLLAR THRIFTY AUTOMOTIVE GROUP INC,12/17/97,91,0,1.098901099,0,0
INFORMATION ADVANTAGE INC,12/17/97,208,0.961538462,2.403846154,0.480769231,0.961538462
NORTH ARKANSAS BANCSHARES INC,11/17/97,278,0.35971223,5.035971223,0,0
MADE2MANAGE SYSTEMS INC,12/19/97,129,1.550387597,3.100775194,0.775193798,1.550387597
BIG CITY RADIO INC,12/19/97,99,1.01010101,3.03030303,0,5.050505051
PACIFICHEALTH LABORATORIES INC,12/19/97,335,0,1.492537313,0.895522388,2.388059701
STATEN ISLAND BANCORP INC,11/21/97,527,0.569259962,3.605313093,0.189753321,0.379506641
FRIEDMAN BILLINGS RAMSEY GROUP INC,12/23/97,86,0,2.325581395,0,0
WARWICK COMMUNITY BANCORP INC,11/24/97,783,0.510855683,3.831417625,0,1.149425287
AGRITOPE INC,1/5/98,117,0,2.564102564,0,0
GUARANTY FEDERAL BANCSHARES INC,12/2/97,415,0.240963855,5.78313253,0,0.963855422
DELAWARE FIRST FINANCIAL CORP,11/18/97,404,0,3.96039604,0,2.475247525
CODDLE CREEK FINANCIAL CORP,11/26/97,648,0.154320988,4.783950617,0.154320988,0.617283951
EXCEL SWITCHING CORP,11/5/97,69,4.347826087,4.347826087,0,4.347826087
AMF BOWLING INC,11/4/97,109,0,4.587155963,0,0
T&W FINANCIAL CORP,11/4/97,227,3.083700441,2.643171806,0,0.881057269
BAYARD DRILLING TECHNOLOGIES INC,11/4/97,247,0.4048583,4.453441296,0,2.024291498
TIMIOS NATIONAL CORP,11/5/97,329,0,3.039513678,0,0.303951368
DENTAL CARE ALLIANCE INC,11/4/97,268,1.865671642,1.865671642,0,0.373134328
"ASSERTIO THERAPEUTICS, INC",11/6/97,360,0,3.888888889,0.555555556,3.888888889
POPMAIL COM INC,11/5/97,50,0,8,0,4
INTERNATIONAL AIRCRAFT INVESTORS,11/5/97,104,1.923076923,6.730769231,0,0
CTI INDUSTRIES CORP,11/5/97,264,1.515151515,3.787878788,0,4.166666667
YOUNG INNOVATIONS INC,11/5/97,132,3.03030303,7.575757576,0,0
SOMNUS MEDICAL TECHNOLOGIES INC,11/6/97,182,1.098901099,0.549450549,0.549450549,2.197802198
AMERICAN SKIING CO /ME,11/7/97,113,0.884955752,5.309734513,0,3.539823009
PRECISION AUTO CARE INC,11/6/97,283,0,3.180212014,0,0.706713781
LINC CAPITAL INC,11/6/97,138,0,2.173913043,0,3.623188406
BRIGHT HORIZONS INC,11/7/97,248,1.612903226,6.85483871,0.403225806,0
BARBEQUES GALORE LTD,11/10/97,264,0,5.303030303,0,3.03030303
ENCOMPASS SERVICES CORP,11/7/97,107,7.476635514,5.607476636,0,0
"DEGAMA SOFTWARE SOLUTIONS, INC.",11/12/97,311,0.964630225,4.180064309,0,0.321543408
SONIC AUTOMOTIVE INC,11/13/97,68,4.411764706,7.352941176,0,1.470588235
"ECHO THERAPEUTICS, INC.",11/12/97,322,4.658385093,3.726708075,0,1.242236025
NOVACARE EMPLOYEE SERVICES INC,11/18/97,123,1.62601626,4.06504065,0,0
HYBRID NETWORKS INC,11/12/97,134,2.23880597,2.985074627,0.746268657,2.23880597
BAY BANCSHARES INC,11/6/97,81,4.938271605,4.938271605,0,0
SPORTSLINE COM INC,11/14/97,99,4.04040404,4.04040404,0,5.050505051
METRO-GOLDWYN-MAYER INC,11/13/97,190,2.631578947,2.105263158,0,2.105263158
BINGHAM FINANCIAL SERVICES CORP,11/13/97,144,0,3.472222222,0,0.694444444
HYPERCOM CORP,11/14/97,265,1.132075472,4.528301887,0,1.509433962
FRIENDLY ICE CREAM CORP,11/14/97,301,0,3.65448505,0,6.976744186
CHARLES & COLVARD LTD,11/17/97,245,0.408163265,3.265306122,0.816326531,0.816326531
METTLER TOLEDO INTERNATIONAL INC/,11/17/97,63,1.587301587,3.174603175,0,0
IRI INTERNATIONAL CORP,11/14/97,338,0.295857988,3.550295858,0,3.25443787
U S TIMBERLANDS CO LP,11/17/97,176,2.840909091,6.818181818,0,2.272727273
SFORZA ENTERPRISES INC,11/17/97,247,0.4048583,4.048582996,0.4048583,2.024291498
FRANCHISE MORTGAGE ACCEPTANCE CO,11/19/97,134,0,6.71641791,0,0
SAGA SYSTEMS INC /DE/,11/19/97,192,2.083333333,3.125,0,1.041666667
PROGENICS PHARMACEUTICALS INC,11/20/97,281,0,1.779359431,1.779359431,3.914590747
"NOBLE INTERNATIONAL, LTD.",11/19/97,477,1.467505241,3.773584906,0.209643606,1.677148847
INTERNATIONAL HOME FOODS INC,11/19/97,107,0.934579439,3.738317757,0,5.607476636
QUERYOBJECT SYSTEMS CORP,11/21/97,478,0,3.138075314,1.255230126,0.627615063
NOVADEL PHARMA INC,11/21/97,421,0.237529691,1.662707838,0.237529691,4.513064133
INTERVU INC,11/20/97,176,1.704545455,3.409090909,0.568181818,1.136363636
PREVIEW TRAVEL INC,11/20/97,194,1.546391753,1.546391753,0.515463918,2.577319588
ENHERENT CORP,11/21/97,165,1.818181818,2.424242424,1.818181818,0.606060606
"SPECTRUM BRANDS, INC.",11/24/97,204,0,7.843137255,0,0
REALNETWORKS INC,11/21/97,112,1.785714286,3.571428571,0.892857143,1.785714286
GEOSPACE TECHNOLOGIES CORP,11/21/97,225,1.333333333,4.444444444,0,4.444444444
HEALTHWORLD CORP,11/24/97,192,5.208333333,3.125,0,3.125
HOMEUSA INC,11/21/97,275,1.090909091,6.545454545,0,2.545454545
ORE PHARMACEUTICAL HOLDINGS INC.,11/24/97,234,1.282051282,1.282051282,0.854700855,1.709401709
DAN RIVER INC /GA/,11/24/97,210,1.428571429,7.619047619,0,1.904761905
DENALI INC,11/21/97,192,1.5625,5.729166667,0,2.083333333
APPLIED FILMS CORP,11/21/97,231,0,5.627705628,0,2.597402597
RADIOLOGIX INC,11/24/97,144,0.694444444,6.25,0,3.472222222
"AFFILIATED MANAGERS GROUP, INC.",11/24/97,113,0,7.96460177,0,2.654867257
BIOANALYTICAL SYSTEMS INC,11/25/97,130,2.307692308,3.846153846,0,4.615384615
APPLIED MICRO CIRCUITS CORP,11/26/97,207,1.449275362,2.898550725,0.966183575,5.797101449
MOTOR CARGO INDUSTRIES INC,11/25/97,134,2.985074627,3.731343284,0,2.985074627
ELECTRIC LIGHTWAVE INC,11/26/97,165,0,1.212121212,0,3.03030303
HOLTS CIGAR HOLDINGS INC,11/25/97,264,1.515151515,3.03030303,0.378787879,4.166666667
GAMETECH INTERNATIONAL INC,11/26/97,235,1.70212766,4.255319149,1.70212766,1.276595745
INTERVEST BANCSHARES CORP,10/30/97,82,2.43902439,0,0,1.219512195
LETS TALK CELLULAR & WIRELESS INC,11/25/97,179,3.351955307,6.703910615,0,1.117318436
MEADOWCRAFT INC,11/26/97,214,0,1.401869159,0,0.46728972
PAPER WAREHOUSE INC,11/25/97,221,0,3.167420814,0.452488688,2.262443439
TRAMMELL CROW CO,11/25/97,297,0.336700337,7.407407407,0.336700337,1.01010101
BRASS EAGLE INC,11/26/97,179,1.117318436,6.703910615,1.675977654,0.558659218
ALPHASTAR INSURANCE GROUP LTD,11/26/97,88,1.136363636,2.272727273,0,0
INTERLEUKIN GENETICS INC,12/2/97,299,0,3.010033445,0.668896321,2.675585284
3DSHOPPING COM,11/26/97,243,1.646090535,1.646090535,0,0.823045267
HOWMET INTERNATIONAL INC,11/26/97,12,0,0,0,0
BUILDING ONE SERVICES CORP,11/26/97,171,2.339181287,5.847953216,0,0
OMEGA ORTHODONTICS INC,10/1/97,811,1.356350185,2.836004932,0.123304562,0.863131936
OMEGA RESEARCH INC,10/1/97,149,2.013422819,2.684563758,0,0
IVEX PACKAGING CORP /DE/,10/2/97,101,0,3.96039604,0,0
ANNAPOLIS BANCORP INC,8/27/97,98,0,4.081632653,1.020408163,0
RSL COMMUNICATIONS LTD,10/1/97,113,3.539823009,6.194690265,0,1.769911504
SHS BANCORP INC,8/27/97,519,0.385356455,3.853564547,0,0.192678227
POWER ONE INC,10/1/97,156,1.923076923,3.205128205,0.641025641,3.205128205
OSI SYSTEMS INC,10/2/97,287,1.393728223,5.923344948,0.348432056,2.090592334
PETERSEN COMPANIES INC,10/2/97,242,1.652892562,6.198347107,0,3.305785124
STRATESEC INC,10/2/97,167,0,3.592814371,1.796407186,1.19760479
SPR INC,10/2/97,232,0.862068966,3.017241379,1.724137931,1.724137931
CORIXA CORP,10/2/97,236,1.694915254,1.694915254,2.118644068,3.389830508
OREGON TRAIL FINANCIAL CORP.,8/27/97,467,0.214132762,3.854389722,0,0.642398287
JEVIC TRANSPORTATION INC,10/7/97,147,2.040816327,4.761904762,0,3.401360544
