begdat,begprc,permno,date,prc
2011-11-18,2011-11-18,13109.0,2011-11-18,9.5
2011-11-18,2011-11-18,13110.0,2011-11-18,22.0
2011-11-11,2011-11-11,13111.0,2011-11-11,7.07999992370605
2011-11-15,2011-11-15,13112.0,2011-11-15,20.5
2011-11-02,2011-11-02,13113.0,2011-11-02,5.0
2011-11-15,2011-11-15,13114.0,2011-11-15,14.8900003433228
2012-01-03,2012-01-03,13115.0,2012-01-03,23.5300006866455
2011-12-15,2011-12-15,13116.0,2011-12-15,13.6099996566772
2011-12-08,2011-12-08,13117.0,2011-12-08,38.7200012207031
2011-12-08,2011-12-08,13118.0,2011-12-08,39.1699981689453
1925-12-31,1925-12-31,13119.0,1925-12-31,22.25
1983-08-16,1983-08-16,13120.0,1983-08-16,5.25
2011-12-05,2011-12-05,13121.0,2011-12-05,3.19000005722046
2011-12-08,2011-12-08,13122.0,2011-12-08,14.7600002288818
2011-12-16,2011-12-16,13123.0,2011-12-16,17.6499996185303
2011-12-15,2011-12-15,13124.0,2011-12-15,18.1000003814697
