comnam,ticker,filingYr
"CARA THERAPEUTICS, INC.",CARA,2014
NEW HOME CO INC.,NWHM,2014
ULTRAGENYX PHARMACEUTICAL INC.,RARE,2014
"MALIBU BOATS, INC.",MBUU,2014
"INTRAWEST RESORTS HOLDINGS, INC.",SNOW,2014
TREVENA INC,TRVN,2014
"EIGER BIOPHARMACEUTICALS, INC.",CLDN,2014
DICERNA PHARMACEUTICALS INC,DRNA,2014
NORTH ATLANTIC DRILLING LTD.,NADL,2014
"EQT RE, LLC",RICE,2014
CARE.COM INC,CRCM,2014
"AKERS BIOSCIENCES, INC.",AKER,2014
SANTANDER CONSUMER USA HOLDINGS INC.,SC,2014
"RSP PERMIAN, INC.",RSPP,2014
EP ENERGY CORP,EPE,2014
BLUE BIRD CORP,HCACU,2014
CHC GROUP LTD.,HELI,2014
"CYPRESS ENERGY PARTNERS, L.P.",CELP,2014
GLYCOMIMETICS INC,GLYC,2014
"RETROPHIN, INC.",RTRX,2014
VARONIS SYSTEMS INC,VRNS,2014
LUMENIS LTD,LMNS,2014
"SEMLER SCIENTIFIC, INC.",SMLR,2014
INOGEN INC,INGN,2014
"INSTALLED BUILDING PRODUCTS, INC.",IBP,2014
"SINTX TECHNOLOGIES, INC.",AMDA,2014
"AGROFRESH SOLUTIONS, INC.",BLVDU,2014
"CONCERT PHARMACEUTICALS, INC.",CNCE,2014
"EAGLE PHARMACEUTICALS, INC.",EGRX,2014
FLEXION THERAPEUTICS INC,FLXN,2014
"TALMER BANCORP, INC.",TLMR,2014
"NEPHROGENEX, INC.",NRX,2014
GEOPARK LTD,GPRK,2014
ARGOS THERAPEUTICS INC,ARGS,2014
"SESEN BIO, INC.",EBIO,2014
ZYLA LIFE SCIENCES,EGLT,2014
LADDER CAPITAL CORP,LADR,2014
"REVANCE THERAPEUTICS, INC.",RVNC,2014
UNIQURE N.V.,QURE,2014
"GENOCEA BIOSCIENCES, INC.",GNCA,2014
"CONTINENTAL BUILDING PRODUCTS, INC.",CBPX,2014
"AUSPEX PHARMACEUTICALS, INC.",ASPX,2014
BIOCEPT INC,BIOC,2014
"BLUEROCK RESIDENTIAL GROWTH REIT, INC.",BRG,2014
OUTFRONT MEDIA INC.,CBSO,2014
"EVERYDAY HEALTH, INC.",EVDY,2014
"AEROHIVE NETWORKS, INC",HIVE,2014
"2U, INC.",TWOU,2014
ENERGOUS CORP,WATT,2014
OXBRIDGE RE HOLDINGS LTD,OXBRU,2014
SQUARE 1 FINANCIAL INC,SQBK,2014
TRINET GROUP INC,TNET,2014
APPLIED GENETIC TECHNOLOGIES CORP,AGTC,2014
KING DIGITAL ENTERTAINMENT PLC,KING,2014
"NORD ANGLIA EDUCATION, INC.",NORD,2014
"AMBER ROAD, INC.",AMBR,2014
"A10 NETWORKS, INC.",ATEN,2014
"BORDERFREE, INC.",BRDR,2014
"PULMATRIX, INC.",RTGN,2014
"ARAVIVE, INC.",VSAR,2014
"Q2 HOLDINGS, INC.",QTWO,2014
"AKEBIA THERAPEUTICS, INC.",AKBA,2014
MEDIWOUND LTD.,MDWD,2014
PAYLOCITY HOLDING CORP,PCTY,2014
"IGNYTA, INC.",RXDX,2014
"CASTLIGHT HEALTH, INC.",CSLT,2014
PLX PHARMA INC.,DPRX,2014
GALMED PHARMACEUTICALS LTD.,GLMD,2014
"ACHAOGEN, INC.",AKAO,2014
"AQUINOX PHARMACEUTICALS, INC",AQXP,2014
QUOTIENT TECHNOLOGY INC.,COUP,2014
"RECRO PHARMA, INC.",REPH,2014
"BG STAFFING, INC.",BGSF,2014
"LOMBARD MEDICAL, INC.",EVAR,2014
FUNCTION(X) INC.,VGGL,2014
QUOTIENT LTD,QTNTU,2014
"IMMUNIC, INC.",VTL,2014
SABRE CORP,SABR,2014
"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPWH,2014
LEJU HOLDINGS LTD,LEJU,2014
MOELIS & CO,MC,2014
"TRIVASCULAR TECHNOLOGIES, INC.",TRIV,2014
"PAYCOM SOFTWARE, INC.",PAYC,2014
"CITY OFFICE REIT, INC.",CIO,2014
WEIBO CORP,WB,2014
"ZOE'S KITCHEN, INC.",ZOES,2014
PHIBRO ANIMAL HEALTH CORP,PAHC,2014
"PROTEA BIOSCIENCES GROUP, INC.",PRGB,2014
FARMLAND PARTNERS INC.,FPI,2014
"ENABLE MIDSTREAM PARTNERS, LP",ENBL,2014
"DARE BIOSCIENCE, INC.",CERU,2014
ADAMAS PHARMACEUTICALS INC,ADMS,2014
ALLY FINANCIAL INC.,ALLY,2014
INPIXON,SYRX,2014
"IKANG HEALTHCARE GROUP, INC.",KANG,2014
LA QUINTA HOLDINGS INC.,LQ,2014
"OPOWER, INC.",OPWR,2014
GRUBHUB INC.,GRUB,2014
"IMS HEALTH HOLDINGS, INC.",IMS,2014
"FIVE9, INC.",FIVN,2014
"CORIUM INTERNATIONAL, INC.",CORI,2014
"TARENA INTERNATIONAL, INC.",TEDU,2014
"RUBICON PROJECT, INC.",RUBI,2014
"1347 PROPERTY INSURANCE HOLDINGS, INC.",PIH,2014
RESONANT INC,RESN,2014
"PARSLEY ENERGY, INC.",PE,2014
AGILE THERAPEUTICS INC,AGRX,2014
"HERITAGE INSURANCE HOLDINGS, INC.",HRTG,2014
"SUPERIOR DRILLING PRODUCTS, INC.",SDPI,2014
SUNEDISON SEMICONDUCTOR LTD,SEMI,2014
"JD.COM, INC.",JD,2014
TECOGEN INC.,TGEN,2014
"TRUECAR, INC.",TRUE,2014
JUMEI INTERNATIONAL HOLDING LTD,JMEI,2014
VANECK MERK GOLD TRUST,OUNZ,2014
"BANKWELL FINANCIAL GROUP, INC.",BWFG,2014
"ZENDESK, INC.",ZEN,2014
"SERVISFIRST BANCSHARES, INC.",SFBS,2014
TUNIU CORP,TOUR,2014
PBF LOGISTICS LP,PBFX,2014
CHEETAH MOBILE INC.,CMCM,2014
"K2M GROUP HOLDINGS, INC.",KTWO,2014
DORIAN LPG LTD.,LPG,2014
ALDER BIOPHARMACEUTICALS INC,ALDR,2014
GASLOG PARTNERS LP,GLOP,2014
SCYNEXIS INC,SCYX,2014
"PAPA MURPHY'S HOLDINGS, INC.",FRSH,2014
"ALDEYRA THERAPEUTICS, INC.",ALDX,2014
ARES MANAGEMENT CORP,ARES,2014
"MICHAELS COMPANIES, INC.",MIK,2014
MOKO SOCIAL MEDIA LTD,MOKO,2014
"NEXTERA ENERGY PARTNERS, LP",NEP,2014
SERVICEMASTER GLOBAL HOLDINGS INC,SERV,2014
TCP INTERNATIONAL HOLDINGS LTD.,TCPI,2014
GARNERO GROUP ACQUISITION CO,GGACU,2014
"GOPRO, INC.",GPRO,2014
IMPRIVATA INC,IMPR,2014
ADEPTUS HEALTH INC.,ADPT,2014
"AMPHASTAR PHARMACEUTICALS, INC.",AMPH,2014
MATERIALISE NV,MTLS,2014
XUNLEI LTD,XNET,2014
MONTAGE RESOURCES CORP,ECR,2014
"KITE PHARMA, INC.",KITE,2014
"ARDELYX, INC.",ARDX,2014
"ZAFGEN, INC.",ZFGN,2014
IHS MARKIT LTD.,MRKT,2014
"ZS PHARMA, INC.",ZSPH,2014
VIPER ENERGY PARTNERS LP,VNOM,2014
PARNELL PHARMACEUTICALS HOLDINGS LTD,PARN,2014
"MIRAGEN THERAPEUTICS, INC.",SGNL,2014
FORESIGHT ENERGY LP,FELP,2014
"CENTURY COMMUNITIES, INC.",CCS,2014
ATLANTICA YIELD PLC,ABY,2014
ASPEN AEROGELS INC,ASPN,2014
"RANGE RESOURCES - LOUISIANA, INC.",MRD,2014
"MOBILEIRON, INC.",MOBL,2014
TRINSEO S.A.,TSE,2014
HERMITAGE OFFSHORE SERVICES LTD.,NAO,2014
