Name,Overview Url,Use of Proceeds Url,Form,Filing Date,Form Url,Use of Proceeds
MEAD JOHNSON NUTRITION CO,https://www.nasdaq.com/markets/ipos/company/mead-johnson-nutrition-co-794428-59950,https://www.nasdaq.com/markets/ipos/company/mead-johnson-nutrition-co-794428-59950,424B4,2/11/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6400013,"We estimate that the net proceeds we will receive from the sale of our Class
A common stock in this offering will be approximately $679.7 million, after 
deducting underwriting discounts and commissions and estimated offering 
expenses. If the underwriters’ over-allotment option is exercised in full, we
estimate our net proceeds will be approximately $782.3 million.

We intend to use the net proceeds from this offering to (i) repay in full 
approximately $597 million of the foreign intercompany notes payable to 
subsidiaries of BMS, and (ii) satisfy payables and other obligations owing to 
one or more subsidiaries of BMS that would have otherwise been forgiven or 
reduced in full. If the underwriters’ over-allotment option is exercised in 
full, we intend to use the net proceeds to repay in full an interest free 
obligation owed to a subsidiary of BMS that would have otherwise been forgiven
or reduced in full. If the underwriters exercise their over-allotment option,
we will receive no benefit from the issuance of any shares of Class A common 
stock subject to the over-allotment option. If the over-allotment option is not
exercised or partly exercised, this obligation or the remaining part thereof 
will be forgiven or otherwise reduced in full.

The aggregate principal amount of these foreign intercompany notes is 
approximately $597 million, with the note relating to Indonesia being
$32 million, the note relating to Malaysia being $55 million,the note relating
to the Netherlands being $280 million and the note relating to the Philippines
being $230 million. Except for the principal amounts, the terms of each of 
these notes are substantially similar, and the rate of interest per annum on 
each note is equal to LIBOR plus 0.75%."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,11/23/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6909071,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,10/29/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6860238,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,6/29/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6676996,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,5/20/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6618874,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,5/6/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6583778,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,4/28/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6562581,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,4/2/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6524936,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B3,3/26/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6503866,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,https://www.nasdaq.com/markets/ipos/company/nivs-intellimedia-technology-group-inc-749089-59129,424B4,3/17/2009,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=6485745,"We will not receive any proceeds from the sale of the shares of common stock 
by the selling stockholders."
