Name,Overview Url,Use of Proceeds Url,Form,Filing Date,Form Url,Use of Proceeds
"C&J OLD CO,INC.",https://www.nasdaq.com/markets/ipos/company/cj-old-coinc-844689-66709,https://www.nasdaq.com/markets/ipos/company/cj-old-coinc-844689-66709,424B4,7/29/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8066911,"We will receive net proceeds of approximately $113.0 million from the sale of 
the common stock offered by us in this offering after deducting estimated 
offering expenses and underwriting discounts and commissions of approximately 
$11.7 million. We will not receive any of the proceeds from the sale of 
shares of our common stock by the selling stockholders, including pursuant to 
the underwriters’ option to purchase additional shares. 
  
We intend to use the net proceeds we receive from this offering to repay all 
outstanding indebtedness under our new senior secured credit facility entered 
into in April 2011, approximately $105.0 million of which was outstanding on 
June 30, 2011. We intend to use any remaining net proceeds to partially fund 
the purchase price of our on-order hydraulic fracturing fleets. 
  
The following table illustrates our use of proceeds from this offering: 

 Sources of Cash (In millions)               Uses of Cash (In millions) 

Net proceeds to us                           Repayment of borrowings under 
from this offering             $  113.0       our credit facility                $  105.0 
                                              Partial payment of our on-order 
                                              hydraulic fracturing fleets             8.0 

Total                          $  113.0 	    Total                        $  113.0

As of June 30, 2011, we had approximately $95.0 million available for 
borrowing under our new credit facility. Indebtedness under our credit 
facility was incurred primarily to repay $49.6 million of indebtedness under 
our previous revolving credit facility and $29.9 million of indebtedness, 
accrued interest and early termination penalties under our subordinated term 
loan and to fund $25.0 million of the purchase price for our acquisition of 
Total. Indebtedness under our previous revolving credit facility and our 
subordinated term loan, which were terminated in connection with the 
repayment, were incurred primarily to fund the acquisitions of Fleet 3 and 
Fleet 4. Our new credit facility will mature on April 19, 2016. As of June 
30, 2011, the interest rate under our credit facility was 2.8%. 
Affiliates of certain of the underwriters are lenders under our credit 
facility and, accordingly, will receive a portion of the proceeds from this 
offering. 
  
We estimate that the selling stockholders will receive net proceeds of 
approximately $194.2 million from the sale of 7,200,000 shares of our common 
stock in this offering after deducting underwriting discounts and commissions. 
If the underwriters’ option to purchase additional shares is exercised in 
full, we estimate that the selling stockholders will receive net proceeds 
of approximately $240.7 million. We will pay all expenses related to this 
offering, other than underwriting discounts and commissions related to the 
shares sold by the selling stockholders."
"CHEFS' WAREHOUSE, INC.",https://www.nasdaq.com/markets/ipos/company/chefs-warehouse-inc-852643-66833,https://www.nasdaq.com/markets/ipos/company/chefs-warehouse-inc-852643-66833,424B4,7/29/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8066494,"The net proceeds to us from this offering will be approximately $63.1 million, 
after deducting estimated underwriting discounts and commissions and estimated 
offering expenses payable by us. 
  
The selling stockholders will receive approximately $60.5 million in net 
proceeds from their sale of 4,333,333 shares of common stock in this offering, 
or approximately $79.3 million if the underwriters exercise in full their 
option to purchase additional shares of common stock from the selling 
stockholders to cover over-allotments, and in each case after deducting 
estimated underwriting discounts and commissions and estimated offering 
expenses payable by the selling stockholders. We will not receive any proceeds 
from the sale of shares by the selling stockholders. 
  
Our existing senior secured credit facilities, which we entered into in 2010, 
provide for (i) a $75.0 million term loan facility and (ii) a revolving credit 
facility under which we may borrow up to $25.0 million. We used a portion of 
the borrowings under these facilities, together with all of the borrowings 
under our senior subordinated notes due 2014, to redeem, in October 2010, all 
of our outstanding Class A units and for general corporate purposes. In 
connection with the redemption of our Class A units, we paid our Class A 
unitholders approximately $45.8 million, plus a dividend of approximately 
$22.4 million. In connection with this offering, we intend to enter into our 
new senior secured credit facilities, consisting of a $30.0 million new term 
loan facility and $50.0 million revolving credit facility. We intend to use the
net proceeds of this offering, together with borrowings under our new senior 
secured credit facilities, as follows: 
   
   •    To redeem or repurchase all of our outstanding senior subordinated 
        notes due 2014 and any accrued but unpaid interest thereon and other 
        related fees, including the call premium of approximately $0.8 million 
        associated with such redemption or repurchase. Interest on our senior 
        subordinated notes accrues at a rate of 20% semi-annually in arrears.
        As of March 25, 2011, approximately $16.3 million in aggregate 
        principal amount of our senior subordinated notes were outstanding. 
        Since October 2010, we have elected to capitalize accrued but unpaid 
        interest on our senior subordinated notes. As of March 25, 2011, we 
        had $1.3 million of capitalized and unpaid interest.  

   •    To repay all of our loans outstanding under our existing senior secured
        credit facilities and any accrued but unpaid interest thereon and 
        other related fees. As of March 25, 2011, our existing senior secured 
        term loan facility had an outstanding balance of approximately $72.5 
        million and matures on April 23, 2014. The weighted-average interest 
        rate of our outstanding indebtedness under our existing senior secured 
        term loan facility was 11% for both the year ended December 24, 2010, 
        and the three months ended March 25, 2011. An affiliate of Jefferies & 
        Company, Inc. is a lender under our existing term loan facility and one
        of the holders of our senior subordinated notes and will receive more 
        than 5% of the proceeds from this offering (after taking into account 
        underwriters’ discounts and commissions and offering expenses payable 
        by us). As of March 25, 2011, our existing senior secured revolving 
        credit facility had an outstanding balance of approximately $9.7 
        million and matures on October 22, 2013. The weighted-average interest 
        rate of our outstanding indebtedness under our existing senior secured 
        revolving credit facility was approximately 3.4% for the year ended 
        December 24, 2010, and 3.8% for the three months ended March 25, 2011."
TEAVANA HOLDINGS INC,https://www.nasdaq.com/markets/ipos/company/teavana-holdings-inc-661253-66965,https://www.nasdaq.com/markets/ipos/company/teavana-holdings-inc-661253-66965,424B4,7/28/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8063368,"Based on an initial public offering price of $17.00 per share, we estimate 
that we will receive net proceeds from this offering of approximately $15.0 
million after deducting the underwriting discount and estimated offering 
expenses payable by us. We will not receive any proceeds from the sale of 
shares of our common stock by the selling stockholders, including any shares 
sold by certain of the selling stockholders in connection with the exercise 
of the underwriters’ overallotment option to purchase additional shares.

We intend to use the net proceeds to us from this offering in the following 
order:

• to redeem all outstanding shares of our Series A redeemable preferred stock,
 all of which is held by Teavana Investment LLC, for an aggregate redemption
 value of $10,683,333;

• to pay offering-related expenses of approximately $3.2 million; and

• to repay all of the outstanding indebtedness under our amended revolving
 credit facility with Fifth Third Bank.

In the event that the net proceeds available to be applied to repay 
indebtedness outstanding under our amended revolving credit facility are less 
than the total amount of debt outstanding under it at the closing of this 
offering, we will pay down that indebtedness by the amount of net proceeds 
available to be applied. We intend to use any remaining net proceeds for 
general corporate purposes, including working capital and capital 
expenditures.

At May 1, 2011, the balance outstanding under our amended revolving credit 
facility was $1.0 million, and the interest rate with respect to those 
borrowings on that date was 6.0%. Our amended revolving credit facility 
expires on April 22, 2016.

The amount and timing of our actual working capital requirements and capital 
expenditures will depend on numerous factors related to the implementation
of our growth plan, including the number of new stores opened in each fiscal
period, increased volumes purchased from our vendors, the expansion of our 
distribution center and other infrastructure investments. Accordingly, our 
management will have broad discretion in the amount and timing of the 
application of the net proceeds to our working capital and capital 
expenditure requirements, and investors will be relying on the judgment of 
our management regarding such application of the proceeds from this offering."
"WESCO AIRCRAFT HOLDINGS, INC",https://www.nasdaq.com/markets/ipos/company/wesco-aircraft-holdings-inc-724080-66809,https://www.nasdaq.com/markets/ipos/company/wesco-aircraft-holdings-inc-724080-66809,424B4,7/28/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8062926,"All of the shares of common stock offered by this prospectus are being sold by
the selling stockholders. The selling stockholders in this offering include 
affiliates of Carlyle and Randy J. Snyder, our Chief Executive Officer. We will
not receive any of the proceeds from the sale of shares in this offering, 
including from any exercise by the underwriters of their overallotment option."
HORIZON THERAPEUTICS PUBLIC LTD CO,https://www.nasdaq.com/markets/ipos/company/horizon-therapeutics-public-ltd-co-829161-64849,https://www.nasdaq.com/markets/ipos/company/horizon-therapeutics-public-ltd-co-829161-64849,424B4,7/29/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8064335,"We estimate that the net proceeds from the sale of the shares of common stock 
we are offering will be approximately $41.9 million, after deducting 
underwriting discounts and commissions and estimated offering expenses. If the 
underwriters fully exercise their overallotment option, we estimate that the 
net proceeds to us from this offering will be approximately $48.8 million. 

The principal purposes of this offering are to obtain additional capital to 
support our operations, to create a public market for our common stock and to 
facilitate our future access to the public equity markets. 

We intend to use approximately $37.3 million of the net proceeds of this 
offering to fund U.S. commercialization activities for DUEXIS and LODOTRA and 
the remainder to fund regulatory approvals of LODOTRA and DUEXIS, to fund 
required post-marketing studies and development of DUEXIS, to fund development
of LODOTRA for other indications and our other product candidates and for 
working capital, capital expenditures and general corporate purposes. 

Pending their use, we plan to invest the net proceeds from this offering in 
short- and intermediate-term, interest-bearing obligations, investment-grade 
instruments, certificates of deposit or direct or guaranteed obligations of 
the U.S. government. 

We believe that the net proceeds from this offering and our existing cash and 
cash equivalents, together with interest thereon, will be sufficient to fund 
our operations into the second quarter of 2012, including our initial 
commercial launch activities in the U.S. for DUEXIS."
"THIRD COAST MIDSTREAM, LLC",https://www.nasdaq.com/markets/ipos/company/third-coast-midstream-llc-851666-66714,https://www.nasdaq.com/markets/ipos/company/third-coast-midstream-llc-851666-66714,424B4,7/27/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8060422,"We expect to receive net proceeds of approximately $73.2 million, after 
deducting underwriting discounts, commissions and structuring fees, but before
paying offering expenses, from the issuance and sale of common units offered
by this prospectus. We will use the net proceeds from this offering to:
 
• repay in full the outstanding balance under our existing credit facility;
 
• pay offering expenses of approximately $3.3 million;
 
• terminate, in exchange for a payment of $2.5 million, the advisory services
  agreement between American Midstream, LLC and AIM;
 
• establish a cash reserve of $2.2 million related to non-recurring deferred
  maintenance capital expenditures for the twelve months ending June 30, 2012;
  and
 
• make an aggregate distribution of approximately $6.6 million, on a pro rata
  basis, to LTIP participants holding common units, AIM Midstream Holdings and
  our general partner. The distribution to AIM Midstream Holdings and our
  general partner will be a reimbursement for certain capital expenditures
  incurred with respect to assets contributed to us.
 
Immediately following the repayment of the outstanding balance under our 
existing credit facility with the net proceeds of this offering, we will 
terminate our existing credit facility and enter into a new credit facility 
and borrow approximately $30.0 million under that credit facility. We will 
use the proceeds from our borrowings to (i) make an aggregate distribution 
of approximately $28.0 million, on a pro rata basis, to LTIP participants 
holding common units, AIM Midstream Holdings and our general partner and (ii)
 pay fees and expenses of approximately $2.0 million relating to our new 
credit facility. The distribution made to AIM Midstream Holdings and our 
general partner will be a reimbursement for certain capital expenditures 
incurred with respect to assets contributed to us.
 
The following table illustrates our use of the net proceeds from this offering
and our borrowings under our new credit facility. 

Sources of Cash (in millions)                     Uses of Cash (in millions)

Net proceeds from this offering       $  73.2 	Repayment of outstanding balance under 
                                                existing credit facility                     $  58.6
                                 
Borrowings under new credit facility  $  30.0   Termination of advisory services agreement   $   2.5
                                 
                                                Establishment of cash reserve related to 
                                                non-recurring deferred maintenance capital 
                                                expenditures for the twelve months ending 
                                                June 30, 2012                                $   2.2
                                 
                                                Distribution to AIM Midstream Holdings, the 
                                                LTIP participants holding common units 
                                                and our general partner                      $  34.6
                                 
                                                Offering and credit facility expenses payable 
                                                by us                                        $   5.3
                                 
Total                                 $ 103.2 	   Total                                     $ 103.2

A portion of the amounts to be repaid under our existing credit facility with
the net proceeds of this offering were used to finance our acquisition of our 
assets in November 2009. As of July 26, 2011, we had approximately $58.6 
million of indebtedness outstanding under our existing credit facility. This 
indebtedness had a weighted average interest rate of 7.6% as of July 26, 2011.
At March 31, 2011, we had $56.5 million of borrowings outstanding under our 
existing credit facility. Our existing credit facility matures in November 
2012. 

If the underwriters exercise their option to purchase additional common units,
we will use the net proceeds from that exercise to redeem from AIM Midstream 
Holdings a number of common units equal to the number of common units issued
upon such exercise, at a price per common unit equal to the proceeds per 
common unit in this offering before expenses but after deducting underwriting 
discounts, commissions and structuring fees.
 
The underwriters may, from time to time, engage in transactions with and 
perform services for us and our affiliates in the ordinary course of business."
"DUNKIN' BRANDS GROUP, INC.",https://www.nasdaq.com/markets/ipos/company/dunkin-brands-group-inc-703168-67014,https://www.nasdaq.com/markets/ipos/company/dunkin-brands-group-inc-703168-67014,424B4,7/27/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8059514,"The net proceeds we will receive from the sale of the shares of our common 
stock in this offering, after deducting underwriter discounts and commissions 
and estimated expenses payable by us, are approximately $390.0 million. We
will not receive any of the net proceeds from the sale of shares of common 
stock by the selling stockholders, which is estimated to be approximately 
$59.3 million if the underwriters’ option to purchase additional shares is 
exercised in full. 

We intend to use the net proceeds from this offering, together with the net 
proceeds from our additional $100 million of term loan borrowings, and 
available cash to repay all amounts outstanding under the Dunkin’ Brands, 
Inc. 9 5/8% senior notes due December 1, 2018, and to use any remaining 
net proceeds for working capital and for general corporate purposes. As of 
April 30, 2011, there was approximately $475.0 million in aggregate principal 
amount of the Dunkin’ Brands, Inc. 9 5/8% senior notes outstanding. The 
senior notes were issued on November 23, 2010, and the proceeds of the senior 
notes (together with borrowings under Dunkin’ Brands, Inc.’s senior credit 
facility and cash on hand) were used to repay indebtedness of certain of our 
indirect subsidiaries, to pay a cash dividend of $500.0 million on the 
outstanding shares of our Class L common stock and to pay related fees and 
expenses."
FRANCESCA'S HOLDINGS CORP,https://www.nasdaq.com/markets/ipos/company/francescas-holdings-corp-744462-66897,https://www.nasdaq.com/markets/ipos/company/francescas-holdings-corp-744462-66897,424B4,7/25/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8054195,"We estimate that we will receive net proceeds from this offering of 
approximately $43.7 million, based upon our initial public offering price of 
$17.00 per share and after deducting the underwriting discounts and commissions
and estimated offering expenses payable by us. We will not receive any proceeds
from the sale of shares of our common stock by the selling stockholders, which
includes certain of our officers and directors, including any shares sold by 
the selling stockholders in connection with the exercise of the underwriters’ 
option to purchase additional shares. 

The terms of our existing senior secured credit facility require us to apply 
the net proceeds of this offering to prepay the existing loans in an amount 
equal to such net proceeds. We intend to use the full net proceeds of this 
offering (based upon our initial public offering price of $17.00 per share) 
of $43.7 million, together with $49.0 million of borrowings under a new 
revolving credit facility, to repay our existing senior secured credit 
facility in full. If we do not enter into a new revolving credit facility, 
then we will use the full net proceeds of this offering (based upon our 
initial public offering price of $17.00 per share) of $43.7 million to prepay
the existing loans as required by the terms of our existing senior secured 
credit facility, in which case $49.0 million of the existing loans would 
remain outstanding after this offering. 

Affiliates of Goldman, Sachs & Co., J.P. Morgan Securities LLC, Jefferies & 
Company, Inc., RBC Capital Markets, LLC, Stifel, Nicolaus & Company, 
Incorporated and KeyBanc Capital Markets Inc., underwriters for this offering, 
are lenders under our existing senior secured credit facility and will receive 
all of the proceeds used to repay amounts outstanding under our existing senior 
secured credit facility. In connection with such repayment, affiliates of 
Goldman, Sachs & Co., J.P. Morgan Securities LLC and Jefferies & Company, Inc. 
will each receive $9.47 million of such net proceeds, an affiliate of RBC 
Capital Markets, LLC will receive $6.56 million of such net proceeds and 
affiliates of Stifel, Nicolaus & Company, Incorporated and KeyBanc Capital 
Markets Inc. will each receive $4.37 million of such net proceeds. On an 
aggregate basis, affiliates of the underwriters will receive $43.7 million of 
the net proceeds from this offering as part of such repayment.

Our existing senior secured credit facility consists of a $95.0 million term 
loan facility and a $5.0 million revolving credit facility, each with a 
scheduled maturity date of November 17, 2013. As of April 30, 2011, we had 
$92.6 million outstanding under our term loan facility and $5.0 million 
available under our revolving credit facility. Immediately prior to the 
completion of this offering, we anticipate that there will be $91.4 million 
of term loans and no amounts of revolving loans outstanding under our existing
senior secured credit facility. We used all of the term loan borrowings, along
with cash on hand, to pay a dividend of $100.0 million on our common stock 
during November 2010. The borrowings under our existing senior secured credit
facility bear interest at a rate equal to an applicable margin plus, at our 
option, either (a) in the case of base rate borrowings, a rate equal to the 
highest of (1) the higher of (i) the prime rate of Royal Bank of Canada and 
(ii) the federal funds rate plus 1/2 of 1%, (2) the LIBOR for an interest 
period of one month plus 1.00% and (3) 2.75% or (b) in the case of LIBOR 
borrowings, a rate equal to the higher of (1) 1.75% and (2) the LIBOR for the
interest period relevant to such borrowing. The current applicable margin for
borrowings under both the revolving credit facility and the term loan facility
is 5.00% with respect to base rate borrowings and 6.00% with respect to LIBOR
borrowings. The applicable margin for borrowings under both the revolving 
credit facility and the term loan facility for base rate borrowings increases
to 6.50% and 9.00% on June 1, 2012 and June 1, 2013, respectively. The 
applicable margin for borrowings under both the revolving credit facility and
the term loan facility for LIBOR borrowings increases to 7.50% and 10.00% on
June 1, 2012 and June 1, 2013, respectively. As of January 29, 2011, the loans
under our existing senior secured credit facility were LIBOR-based and had an
interest rate of 7.75%."
"APOLLO RESIDENTIAL MORTGAGE, INC.",https://www.nasdaq.com/markets/ipos/company/apollo-residential-mortgage-inc-850738-66627,https://www.nasdaq.com/markets/ipos/company/apollo-residential-mortgage-inc-850738-66627,424B1,7/25/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8054190,"We estimate that our net proceeds from the initial public offering of our 
common stock and the concurrent private placement, after deducting our 
estimated offering and organizational expenses, will be approximately 
$203 million (based on the offering price of $20.00 per share set forth on the
cover of this prospectus), after deducting estimated offering expenses of 
approximately $2.05 million payable by us. We estimate that our net proceeds 
will be approximately $233 million if the underwriters exercise their 
overallotment option in full. Our obligation to pay for the expenses incurred
in connection with this offering and the concurrent private placement will be 
capped at 1% of the total gross proceeds from this offering and the concurrent
private placement (or approximately $2.05 million, and approximately 
$2.35 million if the underwriters exercise their overallotment option in full).
Our Manager will pay the expenses incurred above this 1% cap.

All of the shares sold in this offering will be sold to the underwriters at 
$20.00 per share. Our Manager will pay to the underwriters $0.80 per share for
shares sold in this offering. Our total net proceeds from this offering will 
be approximately $203 million (or, if the underwriters exercise their 
overallotment option in full, approximately $233 million), after deducting 
estimated offering expenses. 

Concurrently with this offering, we also expect to sell shares of our common 
stock to certain affiliates of Apollo, including personnel of our Manager, at 
the initial public offering price per share, for an aggregate investment equal
to 2.5% of the gross proceeds raised in this offering, excluding the 
underwriters’ overallotment option, up to $5 million. No underwriting fee is
payable in connection with the sale of shares to certain affiliates of Apollo,
including personnel of our Manager, in the concurrent private placement. 

We plan to use all of the net proceeds from this offering and the concurrent
private placement to purchase Agency MBS assets. We anticipate that 
approximately 50% of our initial Agency MBS assets will consist of fixed-rate
Agency MBS and that the remaining 50% will consist of ARM Agency MBS. We 
expect that the fixed-rate Agency MBS will have the following characteristics:
(i) coupons ranging from 3.0% to 6.5%; (ii) original maturities of either 
15 years or 30 years; and (iii) current weighted average months to maturity 
ranging from 70 months to 360 months. We expect that the ARM Agency MBS will 
have the following characteristics: (i) net weighted average coupons ranging 
from 2.0% to 6.0%; (ii) with respect to hybrid ARM Agency MBS, original months
to first initial reset of underlying loans of either 36 months, 60 months, 
84 months or 120 months; and (iii) current weighted average months to maturity
ranging from 70 months to 360 months. 

We believe that the depth and liquidity of the Agency MBS market will allow us
to invest a significant portion of our capital in a relatively short period of
time. Depending on the availability of our targeted investments during this 
period, until we invest the net proceeds of this offering and the concurrent 
private placement in our target assets, we may temporarily invest in 
interest-bearing short-term investments, including money market accounts, that
are consistent with our intention to qualify as a REIT. Based on current 
market conditions, we expect our initial portfolio will be comprised of Agency
MBS and we expect to diversify this initial portfolio of Agency MBS assets by
investing in non-Agency MBS at first, over the course of several months 
following the closing of this offering and the concurrent private placement. 
We expect to further diversify into residential mortgage loans and other 
residential mortgage assets over time, reaching a fully-diversified portfolio
over the course of approximately one or two years following the closing of 
this offering and the concurrent private placement."
"SUNCOKE ENERGY, INC.",https://www.nasdaq.com/markets/ipos/company/suncoke-energy-inc-850896-66649,https://www.nasdaq.com/markets/ipos/company/suncoke-energy-inc-850896-66649,424B4,7/22/2011,https://www.nasdaq.com/markets/ipos/filing.ashx?filingid=8052865,"We will not receive any proceeds from the sale of our common stock in this 
offering. All of the proceeds from this offering will be received by the debt 
exchange party, who will acquire our common stock being sold in this offering 
from Sunoco in exchange for outstanding Sunoco indebtedness held by the debt 
exchange party."
